p_key|description|company_id|project_manager_id|installation_date|amount|tax|total
R-20-1209-23|Alta de Emisor SVPAYMENT y Bin Credito VISA, con autorizador propio|2|12|2023-01-01|484.57|77.52|562.08
K-66-1437-23|INCREMENTO DE COMISIÓN 2023 EMISORES OXXO|2|32|2023-01-01|196.36|31.42|227.78
C-20-1156-22|Generacion de nuevo reporte especial para el proceso de aclaraciones del banco|2|33|2023-01-01|610.66|97.71|708.35
C-20-1130-23|INTERCAM - Entrega de archivos PLTRPT de Proalerta a Intercam|2|34|2023-01-01|465.09|74.41|539.51
A-20-0032-21|Alta de Cardpay como Adquirente no bancario|2|35|2023-01-01|619.97|99.19|719.16
A-20-1023-23|Alta de Bin Débito en los sistemas Prosa y Proalerta|2|30|2023-01-01|5353.93|856.63|6210.56
C-20-1623-22|RECICLAJE DE LICENCIAS DCVV - SCOTIABANK|2|36|2023-01-01|2609.28|417.48|3026.76
A-20-1304-23|Migracion de Bines a 8 posiciones para Intercam con autorizador payware|2|30|2023-01-01|22533.25|3605.32|26138.56
C-20-1342-23|SMARTPAYMENTS - CERTIFICACIoN OPERATIVAS USD|2|16|2023-01-01|10981.74|1757.08|12738.81
C-20-1139-23|Afirme, Alta y descarga de controversias en SIA|2|30|2023-01-01|60163.26|9626.11|69789.37
